index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
11,ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3253,,,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,13.87,13.87000,,,,,
12,ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3253,,,,PUBLISHED,Published,,2006,2006,,EUR,2006,2006,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,15.39,15.39000,,,,,
13,ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3253,,,,PUBLISHED,Published,,2007,2007,,EUR,2007,2007,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,4.62,4.62000,,,,,
14,HRH_09,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,1980,1980,,EUR,1980,1980,Europe,,,,,TUR,Turkey,,11664,11664.00000,,,,,
15,HRH_09,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,1981,1981,,EUR,1981,1981,Europe,,,,,TUR,Turkey,,12226,12226.00000,,,,,
16,HRH_09,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,1982,1982,,EUR,1982,1982,Europe,,,,,TUR,Turkey,,11830,11830.00000,,,,,
17,HRH_09,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,1983,1983,,EUR,1983,1983,Europe,,,,,TUR,Turkey,,10704,10704.00000,,,,,
18,HRH_09,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,1997,1997,,EUR,1997,1997,Europe,,,,,TUR,Turkey,,39658,39658.00000,,,,,
19,HRH_09,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,1998,1998,,EUR,1998,1998,Europe,,,,,TUR,Turkey,,41461,41461.00000,,,,,
20,HRH_09,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,1999,1999,,EUR,1999,1999,Europe,,,,,TUR,Turkey,,43032,43032.00000,,,,,
21,HRH_09,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,,,,TUR,Turkey,,51887,51887.00000,,,,,
22,HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,,,,TUR,Turkey,,6460,6460.00000,,,,,
23,HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,,,,TUR,Turkey,,11200,11200.00000,,,,,
24,HRH_04,Number of pharmacists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,,,,TUR,Turkey,,13480,13480.00000,,,,,
25,HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,,,,TUR,Turkey,,8080,8080.00000,,,,,
26,HRH_17,Number of medical assistants,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4547,,,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,,,,TUR,Turkey,,4720,4720.00000,,,,,
27,HRH_04,Number of pharmacists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,,,,TUR,Turkey,,11040,11040.00000,,,,,
28,HRH_17,Number of medical assistants,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4547,,,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,,,,TUR,Turkey,,3080,3080.00000,,,,,
29,HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1980,1980,,EUR,1980,1980,Europe,,,,,TUR,Turkey,,26880,26880.00000,,,,,
30,HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1981,1981,,EUR,1981,1981,Europe,,,,,TUR,Turkey,,29459,29459.00000,,,,,
31,HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1983,1983,,EUR,1983,1983,Europe,,,,,TUR,Turkey,,29316,29316.00000,,,,,
32,HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,1993,1993,,EUR,1993,1993,Europe,,,,,TUR,Turkey,,61050,61050.00000,,,,,Includes Physicians</br> Data Source: Ministry of Health
33,HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,1992,1992,,EUR,1992,1992,Europe,,,,,TUR,Turkey,,56985,56985.00000,,,,,Includes Physicians</br> Data Source: Ministry of Health
34,HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,,,,TUR,Turkey,,85242,85242.00000,,,,,Includes Physicians</br> Data Source: Ministry of Health
35,HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,1998,1998,,EUR,1998,1998,Europe,,,,,TUR,Turkey,,77344,77344.00000,,,,,Includes Physicians</br> Data Source: Ministry of Health
36,HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,1996,1996,,EUR,1996,1996,Europe,,,,,TUR,Turkey,,70947,70947.00000,,,,,Includes Physicians</br> Data Source: Ministry of Health
37,HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,1973,1973,,EUR,1973,1973,Europe,,,,,TUR,Turkey,,18511,18511.00000,,,,,Includes Physicians</br> Data Source: Ministry of Health
38,HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,1981,1981,,EUR,1981,1981,Europe,,,,,TUR,Turkey,,28411,28411.00000,,,,,Includes Physicians</br> Data Source: Ministry of Health
39,HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,1979,1979,,EUR,1979,1979,Europe,,,,,TUR,Turkey,,26298,26298.00000,,,,,Includes Physicians</br> Data Source: Ministry of Health
40,HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,1978,1978,,EUR,1978,1978,Europe,,,,,TUR,Turkey,,25230,25230.00000,,,,,Includes Physicians</br> Data Source: Ministry of Health
41,HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1974,1974,,EUR,1974,1974,Europe,,,,,TUR,Turkey,,12228,12228.00000,,,,,
42,HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1975,1975,,EUR,1975,1975,Europe,,,,,TUR,Turkey,,12975,12975.00000,,,,,
43,HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1976,1976,,EUR,1976,1976,Europe,,,,,TUR,Turkey,,13873,13873.00000,,,,,
44,HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1977,1977,,EUR,1977,1977,Europe,,,,,TUR,Turkey,,16785,16785.00000,,,,,
45,HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,TUR,Turkey,,47673,47673.00000,,,,,
46,HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1990,1990,,EUR,1990,1990,Europe,,,,,TUR,Turkey,,30415,30415.00000,,,,,
47,HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,,,,TUR,Turkey,,43541,43541.00000,,,,,
48,HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,TUR,Turkey,,50343,50343.00000,,,,,
49,HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,1999,1999,,EUR,1999,1999,Europe,,,,,TUR,Turkey,,81988,81988.00000,,,,,Includes Physicians</br> Data Source: Ministry of Health
50,HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,1994,1994,,EUR,1994,1994,Europe,,,,,TUR,Turkey,,11457,11457.00000,,,,,
51,HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,1992,1992,,EUR,1992,1992,Europe,,,,,TUR,Turkey,,10703,10703.00000,,,,,
52,HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2002,2002,,EUR,2002,2002,Europe,,,,,TUR,Turkey,,16371,16371.00000,,,,,
53,HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,,,,TUR,Turkey,,15906,15906.00000,,,,,
54,HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,TUR,Turkey,,123447,123447.00000,,,,,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017"
55,HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,2011,2011,,EUR,2011,2011,Europe,,,,,TUR,Turkey,,126029,126029.00000,,,,,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017"
56,HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2002,2002,,EUR,2002,2002,Europe,,,,,TUR,Turkey,,41479,41479.00000,,,,,
57,HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2001,2001,,EUR,2001,2001,Europe,,,,,TUR,Turkey,,41691,41691.00000,,,,,
58,HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1993,1993,,EUR,1993,1993,Europe,,,,,TUR,Turkey,,36263,36263.00000,,,,,
59,HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,1988,1988,,EUR,1988,1988,Europe,,,,,TUR,Turkey,,9639,9639.00000,,,,,
60,HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,1974,1974,,EUR,1974,1974,Europe,,,,,TUR,Turkey,,4269,4269.00000,,,,,
61,HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2007,2007,,EUR,2007,2007,Europe,,,,,TUR,Turkey,,19278,19278.00000,,,,,
62,HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2006,2006,,EUR,2006,2006,Europe,,,,,TUR,Turkey,,18332,18332.00000,,,,,
63,HRH_19,Number of pharmaceutical personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2013,2013,,EUR,2013,2013,Europe,,,,,TUR,Turkey,,27012,27012.00000,,,,,"Includes Pharmacists</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017"
64,HRH_19,Number of pharmaceutical personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2011,2011,,EUR,2011,2011,Europe,,,,,TUR,Turkey,,26089,26089.00000,,,,,"Includes Pharmacists</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017"
65,HRH_19,Number of pharmaceutical personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2014,2014,,EUR,2014,2014,Europe,,,,,TUR,Turkey,,27199,27199.00000,,,,,"Includes Pharmacists</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017"
66,HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,1987,1987,,EUR,1987,1987,Europe,,,,,TUR,Turkey,,8589,8589.00000,,,,,
67,HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,1986,1986,,EUR,1986,1986,Europe,,,,,TUR,Turkey,,8410,8410.00000,,,,,
68,HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,1985,1985,,EUR,1985,1985,Europe,,,,,TUR,Turkey,,8305,8305.00000,,,,,
69,HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1986,1986,,EUR,1986,1986,Europe,,,,,TUR,Turkey,,32392,32392.00000,,,,,
70,HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1985,1985,,EUR,1985,1985,Europe,,,,,TUR,Turkey,,30854,30854.00000,,,,,
71,HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1975,1975,,EUR,1975,1975,Europe,,,,,TUR,Turkey,,14806,14806.00000,,,,,
72,HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1989,1989,,EUR,1989,1989,Europe,,,,,TUR,Turkey,,43374,43374.00000,,,,,
73,HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1995,1995,,EUR,1995,1995,Europe,,,,,TUR,Turkey,,64243,64243.00000,,,,,
74,HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1993,1993,,EUR,1993,1993,Europe,,,,,TUR,Turkey,,54268,54268.00000,,,,,
75,HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,,,,TUR,Turkey,,78182,78182.00000,,,,,
76,HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,TUR,Turkey,,75753,75753.00000,,,,,
77,HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1982,1982,,EUR,1982,1982,Europe,,,,,TUR,Turkey,,29243,29243.00000,,,,,
78,HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,1972,1972,,EUR,1972,1972,Europe,,,,,TUR,Turkey,,3789,3789.00000,,,,,
79,HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,1973,1973,,EUR,1973,1973,Europe,,,,,TUR,Turkey,,4279,4279.00000,,,,,
80,HRH_04,Number of pharmacists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,1975,1975,,EUR,1975,1975,Europe,,,,,TUR,Turkey,,7002,7002.00000,,,,,
81,HRH_04,Number of pharmacists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,1976,1976,,EUR,1976,1976,Europe,,,,,TUR,Turkey,,7828,7828.00000,,,,,
82,HRH_04,Number of pharmacists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,1977,1977,,EUR,1977,1977,Europe,,,,,TUR,Turkey,,10572,10572.00000,,,,,
83,HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2003,2003,,EUR,2003,2003,Europe,,,,,TUR,Turkey,,116145,116145.00000,,,,,"Includes Nurses , Midwives</br> Data Source: Ministry of Health"
84,HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2006,2006,,EUR,2006,2006,Europe,,,,,TUR,Turkey,,127109,127109.00000,,,,,"Includes Nurses , Midwives</br> Data Source: Ministry of Health"
85,HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,,,,TUR,Turkey,,121723,121723.00000,,,,,"Includes Nurses , Midwives</br> Data Source: Ministry of Health"
86,HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2007,2007,,EUR,2007,2007,Europe,,,,,TUR,Turkey,,141836,141836.00000,,,,,"Includes Nurses , Midwives</br> Data Source: Ministry of Health"
87,HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,TUR,Turkey,,147583,147583.00000,,,,,"Includes Nurses , Midwives</br> Data Source: Ministry of Health"
88,HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1989,1989,,EUR,1989,1989,Europe,,,,,TUR,Turkey,,71179,71179.00000,,,,,"Includes Nurses , Midwives</br> Data Source: Ministry of Health"
89,HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1994,1994,,EUR,1994,1994,Europe,,,,,TUR,Turkey,,91884,91884.00000,,,,,"Includes Nurses , Midwives</br> Data Source: Ministry of Health"
90,HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1993,1993,,EUR,1993,1993,Europe,,,,,TUR,Turkey,,90531,90531.00000,,,,,"Includes Nurses , Midwives</br> Data Source: Ministry of Health"
91,HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2012,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,241838,241838.00000,,,,,"Includes Midwives, Nurses</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017"
92,HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1978,1978,,EUR,1978,1978,Europe,,,,,TUR,Turkey,,37185,37185.00000,,,,,"Includes Nurses , Midwives</br> Data Source: Ministry of Health"
93,HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1987,1987,,EUR,1987,1987,Europe,,,,,TUR,Turkey,,56837,56837.00000,,,,,"Includes Nurses , Midwives</br> Data Source: Ministry of Health"
94,HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1975,1975,,EUR,1975,1975,Europe,,,,,TUR,Turkey,,27781,27781.00000,,,,,"Includes Nurses , Midwives</br> Data Source: Ministry of Health"
95,HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1976,1976,,EUR,1976,1976,Europe,,,,,TUR,Turkey,,30439,30439.00000,,,,,"Includes Nurses , Midwives</br> Data Source: Ministry of Health"
96,HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,,,,TUR,Turkey,,1.707,1.70700,,,,,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017"
97,HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,2009,2009,,EUR,2009,2009,Europe,,,,,TUR,Turkey,,1.665,1.66500,,,,,Includes Physicians</br> Data Source: Ministry of Health
98,HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,2011,2011,,EUR,2011,2011,Europe,,,,,TUR,Turkey,,1.714,1.71400,,,,,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017"
99,HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,1995,1995,,EUR,1995,1995,Europe,,,,,TUR,Turkey,,1.185,1.18500,,,,,Includes Physicians</br> Data Source: Ministry of Health
100,HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,1997,1997,,EUR,1997,1997,Europe,,,,,TUR,Turkey,,1.22,1.22000,,,,,Includes Physicians</br> Data Source: Ministry of Health
101,HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,1996,1996,,EUR,1996,1996,Europe,,,,,TUR,Turkey,,1.193,1.19300,,,,,Includes Physicians</br> Data Source: Ministry of Health
102,HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,,,,TUR,Turkey,,1.45,1.45000,,,,,Includes Physicians</br> Data Source: Ministry of Health
103,HRH_33,Nursing and midwifery personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/105,,,,PUBLISHED,Published,,1990,1990,,EUR,1990,1990,Europe,,,,,TUR,Turkey,,1.396,1.39600,,,,,"Includes Nurses , Midwives</br> Data Source: Ministry of Health"
104,HRH_33,Nursing and midwifery personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/105,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,TUR,Turkey,,2.098,2.09800,,,,,"Includes Nurses , Midwives</br> Data Source: Ministry of Health"
