index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),DHSMICSGEOREGION (CODE),DHSMICSGEOREGION (DISPLAY),DHSMICSGEOREGION (URL),WEALTHDECILE (CODE),WEALTHDECILE (DISPLAY),WEALTHDECILE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
17,ebreast,Early initiation of breastfeeding (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,RUR,Rural,,,,,,,,,,,48.1 [44.4-51.9],48.10015,44.35877,51.86297,,,
18,mslv,Measles immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3337,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,RUR,Rural,,,,,,,,,,,72.7 [65.9-78.6],72.71926,65.94691,78.58218,,,
19,mslv,Measles immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3337,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,URB,Urban,,,,,,,,,,,82.2 [76.0-87.1],82.17295,75.96156,87.05291,,,
20,stunt3,Stunting prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3346,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,RUR,Rural,,,,,,,,,,,21.8 [17.5-26.8],21.80531,17.54963,26.75805,,,
21,stunt3,Stunting prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3346,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,URB,Urban,,,,,,,,,,,11.4 [9.4-13.7],11.36452,9.39608,13.68305,,,
22,wast3,Wasting prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4487,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,URB,Urban,,,,,,,,,,,3.6 [2.7-4.9],3.62663,2.67131,4.90638,,,
23,cpmo,Contraceptive prevalence - modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3334,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,RUR,Rural,,,,,,,,,,,34.4 [32.1-36.7],34.37810,32.1189,36.71026,,,
24,cpmo,Contraceptive prevalence - modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3334,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,URB,Urban,,,,,,,,,,,45.8 [44.3-47.3],45.78621,44.27265,47.30759,,,
25,fpsmo,Demand for family planning satisfied - modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,RUR,Rural,,,,,,,,,,,46.2 [42.9-49.5],46.22181,42.93656,49.5402,,,
26,fpsmo,Demand for family planning satisfied - modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,URB,Urban,,,,,,,,,,,56.9 [54.4-59.4],56.91926,54.35448,59.44745,,,
27,fullv,Full immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3317,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,RUR,Rural,,,,,,,,,,,36.9 [30.7-43.6],36.92291,30.73947,43.56778,,,
28,uweight3,Underweight prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3347,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,RUR,Rural,,,,,,,,,,,4.8 [3.2-7.2],4.82993,3.20377,7.21993,,,
29,uweight3,Underweight prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3347,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,URB,Urban,,,,,,,,,,,2.0 [1.2-3.2],1.99075,1.21795,3.23782,,,
30,bcgv,BCG immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3325,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,NHLM,None,,,,,,,,,,,,,,,,,72.6 [63.0-80.4],72.57189,63.00847,80.43077,,,
31,bcgv,BCG immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3325,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,PRLM,Primary,,,,,,,,,,,,,,,,,95.7 [93.3-97.3],95.74819,93.34667,97.30788,,,
32,bcgv,BCG immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3325,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,SHLM,Secondary or higher,,,,,,,,,,,,,,,,,99.1 [93.9-99.9],99.10696,93.91647,99.87481,,,
33,fpsmo,Demand for family planning satisfied - modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,NHLM,None,,,,,,,,,,,,,,,,,34.3 [31.0-37.8],34.33058,31.01293,37.80863,,,
34,fpsmo,Demand for family planning satisfied - modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,PRLM,Primary,,,,,,,,,,,,,,,,,45.9 [43.7-48.2],45.91549,43.6792,48.16835,,,
35,fpsmo,Demand for family planning satisfied - modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,SHLM,Secondary or higher,,,,,,,,,,,,,,,,,60.5 [56.9-64.0],60.47845,56.88565,63.96152,,,
36,fullv,Full immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3317,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,NHLM,None,,,,,,,,,,,,,,,,,45.8 [38.0-53.7],45.75166,38.02857,53.68447,,,
37,mslv,Measles immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3337,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,PRLM,Primary,,,,,,,,,,,,,,,,,83.1 [78.9-86.6],83.07890,78.90841,86.56516,,,
38,mslv,Measles immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3337,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,SHLM,Secondary or higher,,,,,,,,,,,,,,,,,89.3 [81.6-94.0],89.27802,81.57846,93.99626,,,
39,uweight3,Underweight prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3347,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,NHLM,None,,,,,,,,,,,,,,,,,14.9 [11.1-19.7],14.90276,11.12331,19.68201,,,
40,uweight3,Underweight prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3347,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,PRLM,Primary,,,,,,,,,,,,,,,,,5.4 [4.2-7.0],5.42836,4.18643,7.01175,,,
41,uweight3,Underweight prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3347,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,SHLM,Secondary or higher,,,,,,,,,,,,,,,,,1.5 [0.6-3.7],1.54155,0.63196,3.71143,,,
42,bcgv,BCG immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3325,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,SHLM,Secondary or higher,,,,,,,,,,,,,,,,,97.4 [91.1-99.3],97.37153,91.1009,99.25956,,,
43,dptv,DTP3 immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3335,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,NHLM,None,,,,,,,,,,,,,,,,,51.8 [43.8-59.7],51.76861,43.75815,59.68918,,,
44,dptv,DTP3 immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3335,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,PRLM,Primary,,,,,,,,,,,,,,,,,57.1 [51.8-62.3],57.12395,51.83659,62.25353,,,
45,fullv,Full immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3317,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,NHLM,None,,,,,,,,,,,,,,,,,33.0 [25.1-42.0],33.01093,25.1279,41.98036,,,
46,fullv,Full immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3317,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,PRLM,Primary,,,,,,,,,,,,,,,,,44.2 [38.4-50.1],44.16331,38.41425,50.07322,,,
47,fullv,Full immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3317,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,SHLM,Secondary or higher,,,,,,,,,,,,,,,,,60.8 [51.9-69.0],60.81691,51.94022,69.03162,,,
48,obesewm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,NHLM,None,,,,,,,,,,,,,,,,,24.4 [20.2-29.2],24.39369,20.15354,29.19971,,,
49,obesewm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,PRLM,Primary,,,,,,,,,,,,,,,,,20.7 [18.2-23.3],20.67198,18.23477,23.34193,,,
50,obesewm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,SHLM,Secondary or higher,,,,,,,,,,,,,,,,,10.1 [7.7-13.2],10.14867,7.73803,13.20283,,,
51,stunt3,Stunting prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3346,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,NHLM,None,,,,,,,,,,,,,,,,,33.1 [27.7-39.0],33.12458,27.70776,39.02866,,,
52,uweight3,Underweight prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3347,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,SHLM,Secondary or higher,,,,,,,,,,,,,,,,,2.2 [1.0-4.7],2.16728,0.99281,4.66562,,,
53,uweight5,Underweight prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3329,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,NHLM,None,,,,,,,,,,,,,,,,,13.9 [10.9-17.5],13.88333,10.92767,17.48153,,,
54,uweight5,Underweight prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3329,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,PRLM,Primary,,,,,,,,,,,,,,,,,4.8 [3.9-6.1],4.84461,3.85543,6.07155,,,
55,uweight5,Underweight prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3329,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,SHLM,Secondary or higher,,,,,,,,,,,,,,,,,2.1 [1.1-3.8],2.11002,1.14779,3.84753,,,
56,dptv,DTP3 immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3335,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,PRLM,Primary,,,,,,,,,,,,,,,,,69.0 [63.0-74.4],68.95081,62.95002,74.37531,,,
57,dptv,DTP3 immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3335,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,SHLM,Secondary or higher,,,,,,,,,,,,,,,,,78.2 [68.5-85.5],78.17504,68.53171,85.48894,,,
58,ebreast,Early initiation of breastfeeding (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,NHLM,None,,,,,,,,,,,,,,,,,38.7 [32.2-45.7],38.72452,32.18242,45.70034,,,
59,ebreast,Early initiation of breastfeeding (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,PRLM,Primary,,,,,,,,,,,,,,,,,56.5 [53.1-59.8],56.48372,53.10372,59.8045,,,
60,obesewm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,PRLM,Primary,,,,,,,,,,,,,,,,,25.1 [22.8-27.5],25.08910,22.83661,27.48464,,,
61,obesewm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,SHLM,Secondary or higher,,,,,,,,,,,,,,,,,14.7 [12.0-17.9],14.72834,12.04378,17.88959,,,
62,stunt3,Stunting prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3346,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,NHLM,None,,,,,,,,,,,,,,,,,26.5 [22.4-31.1],26.53286,22.42479,31.09188,,,
63,stunt3,Stunting prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3346,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,PRLM,Primary,,,,,,,,,,,,,,,,,12.4 [10.5-14.6],12.40150,10.48866,14.60626,,,
64,stunt3,Stunting prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3346,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,SHLM,Secondary or higher,,,,,,,,,,,,,,,,,4.3 [2.6-6.8],4.26116,2.64174,6.80393,,,
65,uweight5,Underweight prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3329,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,SHLM,Secondary or higher,,,,,,,,,,,,,,,,,1.0 [0.5-1.9],1.01130,0.52237,1.94889,,,
66,fpsmo,Demand for family planning satisfied - modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,20.0 [13.8-27.9],19.97025,13.83894,27.93722,,,
67,fpsmo,Demand for family planning satisfied - modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,30.9 [20.0-44.4],30.86443,20.00227,44.35474,,,
