index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
10,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,63.2,0.63228,,,,,
11,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,61.8,0.61785,,,,,
12,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,56.4,0.56402,,,,,
13,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,46.8,0.46809,,,,,
14,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,YEARS0-5,0-5  years,,,,,,,,,,,,,,69.3,0.69319,,,,,
15,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,YEARS0-5,0-5  years,,,,,,,,,,,,,,76.5,0.76467,,,,,
16,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,YEARS12+,12+  years,,,,,,,,,,,,,,64.1,0.64102,,,,,
17,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,YEARS12+,12+  years,,,,,,,,,,,,,,56.2,0.56239,,,,,
18,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,YEARS12+,12+  years,,,,,,,,,,,,,,45.7,0.45680,,,,,
19,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,YEARS6-11,6-11 years,,,,,,,,,,,,,,73.7,0.73727,,,,,
20,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,YEARS6-11,6-11 years,,,,,,,,,,,,,,67.1,0.67135,,,,,
21,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,71.2,0.71228,,,,,
22,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,56.3,0.56316,,,,,
23,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,70.1,0.70129,,,,,
24,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,URB,Urban,,,,,67.1,0.67130,,,,,
25,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,86.6,0.86581,,,,,
26,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,86.8,0.86811,,,,,
27,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,80.4,0.80445,,,,,
28,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,79.7,0.79737,,,,,
29,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ3,Q3,,72.9,0.72875,,,,,
30,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,77.3,0.77312,,,,,
31,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,39.4,0.39392,,,,,
32,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,YEARS0-5,0-5  years,,,,,,,,,,,,,,82.6,0.82608,,,,,
33,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,YEARS6-11,6-11 years,,,,,,,,,,,,,,62.5,0.62523,,,,,
34,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,RUR,Rural,,,,,34.0,0.33963,,,,,
35,EQ_SLUM,Proportion of urban residents living in a slum area,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2476,,,,PUBLISHED,Published,,2009.0,2009,,EUR,2009,2009,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,13.0,13.00000,,,,,
36,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,1950.0,1950,,EUR,1950,1950,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,24.8,24.77400,,,,,
37,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,1960.0,1960,,EUR,1960,1960,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,31.5,31.51500,,,,,
38,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,1970.0,1970,,EUR,1970,1970,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,38.2,38.23400,,,,,
39,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,1980.0,1980,,EUR,1980,1980,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,43.8,43.78000,,,,,
40,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,1990.0,1990,,EUR,1990,1990,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,59.2,59.20300,,,,,
41,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,64.7,64.74100,,,,,
42,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,2010.0,2010,,EUR,2010,2010,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,70.7,70.71500,,,,,
43,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,2020.0,2020,,EUR,2020,2020,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,75.7,75.70300,,,,,
44,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,2030.0,2030,,EUR,2030,2030,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,79.3,79.28800,,,,,
45,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,2040.0,2040,,EUR,2040,2040,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,81.7,81.69400,,,,,
46,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,2050.0,2050,,EUR,2050,2050,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,83.7,83.70300,,,,,
47,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,161.5,161.50000,,,,,
48,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,URB,Urban,,,,,152.9,152.90000,,,,,
49,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,RUR,Rural,,,,,174.2,174.20000,,,,,
50,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,177.5,177.50000,,,,,
51,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,109.5,109.50000,,,,,
52,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ3,Q3,,123.1,123.10000,,,,,
53,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,145.3,145.30000,,,,,
54,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,104.6,104.60000,,,,,
55,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,61.6,61.60000,,,,,
56,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,URB,Urban,,,,,55.0,55.00000,,,,,
57,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,RUR,Rural,,,,,72.8,72.80000,,,,,
58,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,97.8,97.80000,,,,,
59,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,77.5,77.50000,,,,,
60,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ3,Q3,,62.5,62.50000,,,,,
61,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,48.4,48.40000,,,,,
62,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,27.1,27.10000,,,,,
63,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,163.3,163.30000,,,,,
64,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,URB,Urban,,,,,157.3,157.30000,,,,,
65,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,RUR,Rural,,,,,175.3,175.30000,,,,,
66,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,152.9,152.90000,,,,,
67,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,139.5,139.50000,,,,,
68,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ3,Q3,,119.2,119.20000,,,,,
69,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,102.1,102.10000,,,,,
70,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,124.3,124.30000,,,,,
71,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,61.0,61.00000,,,,,
72,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,URB,Urban,,,,,50.0,50.00000,,,,,
73,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,RUR,Rural,,,,,76.0,76.00000,,,,,
74,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,108.0,108.00000,,,,,
75,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,75.0,75.00000,,,,,
76,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ3,Q3,,58.0,58.00000,,,,,
77,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,34.0,34.00000,,,,,
78,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,26.0,26.00000,,,,,
79,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,52.0,52.00000,,,,,
80,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,URB,Urban,,,,,42.0,42.00000,,,,,
81,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,RUR,Rural,,,,,68.0,68.00000,,,,,
