index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),ENVCAUSE (CODE),ENVCAUSE (DISPLAY),ENVCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
10,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,8.4,8.40000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
11,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,2015,2015,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,3.4,3.40000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
12,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,2015,2015,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,11.4,11.40000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
13,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,2015,2015,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,7.3,7.30000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
14,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,3.3,3.30000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
15,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,11.4,11.40000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
16,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,7.3,7.30000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
17,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,2000,2000,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,67.7,67.69444,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
18,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2001,2001,,EUR,Europe,,,2001,2001,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,68.1,68.13460,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
19,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2002,2002,,EUR,Europe,,,2002,2002,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,68.5,68.51900,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
20,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2003,2003,,EUR,Europe,,,2003,2003,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,68.9,68.85184,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
21,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,2004,2004,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,69.2,69.17175,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
22,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,2005,2005,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,69.5,69.48772,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
23,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,2006,2006,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,69.8,69.83333,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
24,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,2007,2007,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,70.2,70.16090,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
25,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,70.5,70.51180,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
26,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2009,2009,,EUR,Europe,,,2009,2009,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,71.0,70.95812,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
27,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,71.3,71.34824,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
28,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,2011,2011,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,71.7,71.69945,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
29,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2012,2012,,EUR,Europe,,,2012,2012,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,72.1,72.08752,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
30,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2013,2013,,EUR,Europe,,,2013,2013,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,72.5,72.50504,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
31,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2014,2014,,EUR,Europe,,,2014,2014,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,72.8,72.81167,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
32,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,2015,2015,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,73.0,72.99417,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
33,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,73.3,73.30224,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
34,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,2000,2000,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,74.3,74.30305,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
35,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2001,2001,,EUR,Europe,,,2001,2001,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,74.7,74.65065,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
36,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2002,2002,,EUR,Europe,,,2002,2002,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,75.0,74.97099,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
37,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2003,2003,,EUR,Europe,,,2003,2003,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,75.3,75.29688,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
38,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,2004,2004,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,75.7,75.67245,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
39,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,2005,2005,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,76.1,76.07264,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
40,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,2006,2006,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,76.5,76.48741,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
41,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,2007,2007,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,76.9,76.86761,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
42,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,77.2,77.20203,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
43,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2009,2009,,EUR,Europe,,,2009,2009,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,77.5,77.53298,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
44,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,77.8,77.81783,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
45,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,2011,2011,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,78.1,78.06898,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
46,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2012,2012,,EUR,Europe,,,2012,2012,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,78.4,78.36417,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
47,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2013,2013,,EUR,Europe,,,2013,2013,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,78.7,78.66117,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
48,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2014,2014,,EUR,Europe,,,2014,2014,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,78.9,78.93586,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
49,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,2015,2015,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,79.2,79.16554,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
50,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,79.4,79.41780,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
51,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,2000,2000,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,70.9,70.94616,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
52,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2001,2001,,EUR,Europe,,,2001,2001,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,71.3,71.34026,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
53,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2002,2002,,EUR,Europe,,,2002,2002,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,71.7,71.69454,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
54,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2003,2003,,EUR,Europe,,,2003,2003,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,72.0,72.02675,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
55,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,2004,2004,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,72.4,72.37785,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
56,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,2005,2005,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,72.7,72.74175,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
57,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,2006,2006,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,73.1,73.11613,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
58,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,2007,2007,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,73.5,73.46889,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
59,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,73.8,73.81729,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
60,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2009,2009,,EUR,Europe,,,2009,2009,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,74.2,74.22004,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
61,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,74.6,74.57514,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
62,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,2011,2011,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,74.9,74.87956,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
63,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2012,2012,,EUR,Europe,,,2012,2012,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,75.2,75.22685,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
64,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2013,2013,,EUR,Europe,,,2013,2013,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,75.6,75.59234,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
65,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2014,2014,,EUR,Europe,,,2014,2014,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,75.9,75.88984,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
66,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,2015,2015,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,76.1,76.10220,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
67,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,76.4,76.38178,,,,,"WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
68,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,2000,2000,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,58.8,58.79752,,,,,
69,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,2005,2005,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,60.8,60.75346,,,,,
70,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,62.6,62.62373,,,,,
71,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,2015,2015,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,64.0,64.01674,,,,,
72,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,64.4,64.43073,,,,,
73,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,2000,2000,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,62.4,62.39220,,,,,
74,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,2005,2005,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,64.4,64.39838,,,,,
75,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,66.2,66.19064,,,,,
