index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),ALCOHOLTYPE (CODE),ALCOHOLTYPE (DISPLAY),ALCOHOLTYPE (URL),NATIONALSYSTEMTYPE (CODE),NATIONALSYSTEMTYPE (DISPLAY),NATIONALSYSTEMTYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
57,TOBACCO_0000000364,Smoking cessation support is available in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1262,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes in some,,,,,,
58,TOBACCO_0000000365,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,Yes in some,,,,,,
59,TOBACCO_0000000365,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes in some,,,,,,
60,TOBACCO_0000000366,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,Yes in some,,,,,,
61,TOBACCO_0000000366,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,. . .,,,,,,
62,TOBACCO_0000000367,Nicotine replacement therapy - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
63,TOBACCO_0000000367,Nicotine replacement therapy - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
64,TOBACCO_0000000368,Nicotine replacement therapy - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1260,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,In a pharmacy without a prescription,,,,,,
65,TOBACCO_0000000368,Nicotine replacement therapy - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1260,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,In a pharmacy without a prescription,,,,,,
66,TOBACCO_0000000369,Bupropion - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1259,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
67,TOBACCO_0000000369,Bupropion - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1259,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
68,TOBACCO_0000000370,Bupropion - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1258,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,In a pharmacy with a prescription,,,,,,
69,TOBACCO_0000000370,Bupropion - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1258,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,In a pharmacy with a prescription,,,,,,
70,TOBACCO_0000000371,Varenicline - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1256,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
71,TOBACCO_0000000371,Varenicline - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1256,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
72,TOBACCO_0000000372,Varenicline - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1257,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,In a pharmacy with a prescription,,,,,,
73,TOBACCO_0000000372,Varenicline - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1257,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,In a pharmacy with a prescription,,,,,,
74,TOBACCO_0000000209,Fines for violations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1324,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
75,TOBACCO_0000000209,Fines for violations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1324,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
76,TOBACCO_0000000210,Fines on the establishment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1325,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
77,TOBACCO_0000000210,Fines on the establishment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1325,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
78,TOBACCO_0000000211,Fines on the patron,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1326,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
79,TOBACCO_0000000211,Fines on the patron,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1326,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
80,TOBACCO_0000000212,Dedicated funds for enforcement,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1323,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,No,,,,,,
81,TOBACCO_0000000212,Dedicated funds for enforcement,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1323,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
82,TOBACCO_0000000213,Citizen complaints and investigations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1322,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,TUR,Turkey,,,,,,,,,,,No,,,,,,
83,TOBACCO_0000000213,Citizen complaints and investigations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1322,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,Yes,,,,,,
84,SA_0000001410,"Abstainers (15-19 years), lifetime (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2323,PUBLISHED,Published,,2003,2003,,EUR,Europe,,,2003,2003,,,TUR,Turkey,,FMLE,Female,,,,,,,,91.1,91.10000,,,,,
85,SA_0000001410,"Abstainers (15-19 years), lifetime (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2323,PUBLISHED,Published,,2003,2003,,EUR,Europe,,,2003,2003,,,TUR,Turkey,,MLE,Male,,,,,,,,70.4,70.40000,,,,,
86,SA_0000001410,"Abstainers (15-19 years), lifetime (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2323,PUBLISHED,Published,,2003,2003,,EUR,Europe,,,2003,2003,,,TUR,Turkey,,BTSX,Both sexes,,,,,,,,83.5,83.50000,,,,,
87,SA_0000001412,"Abstainers (15-19 years), past 12 months (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2324,PUBLISHED,Published,,2001,2001,,EUR,Europe,,,2001,2001,,,TUR,Turkey,,MLE,Male,,,,,,,,76.1,76.10000,,,,,
88,SA_0000001412,"Abstainers (15-19 years), past 12 months (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2324,PUBLISHED,Published,,2001,2001,,EUR,Europe,,,2001,2001,,,TUR,Turkey,,BTSX,Both sexes,,,,,,,,74.2,74.20000,,,,,
89,SA_0000001412,"Abstainers (15-19 years), past 12 months (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2324,PUBLISHED,Published,,2001,2001,,EUR,Europe,,,2001,2001,,,TUR,Turkey,,FMLE,Female,,,,,,,,70.9,70.90000,,,,,
90,SA_0000001418,"Age-standardized DALYs, alcohol use disorders, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,2004,2004,,,TUR,Turkey,,MLE,Male,,,,,,,,232,232.00000,,,,,
91,SA_0000001418,"Age-standardized DALYs, alcohol use disorders, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,2004,2004,,,TUR,Turkey,,BTSX,Both sexes,,,,,,,,158,158.00000,,,,,
92,SA_0000001418,"Age-standardized DALYs, alcohol use disorders, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,2004,2004,,,TUR,Turkey,,FMLE,Female,,,,,,,,82,82.00000,,,,,
93,SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,2004,2004,,,TUR,Turkey,,FMLE,Female,,,,,,,,192,192.00000,,,,,
94,SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,2004,2004,,,TUR,Turkey,,BTSX,Both sexes,,,,,,,,98,98.00000,,,,,
95,SA_0000001420,"Age-standardized DALYs, colon and rectum cancers, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,2004,2004,,,TUR,Turkey,,MLE,Male,,,,,,,,102,102.00000,,,,,
96,SA_0000001420,"Age-standardized DALYs, colon and rectum cancers, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,2004,2004,,,TUR,Turkey,,BTSX,Both sexes,,,,,,,,92,92.00000,,,,,
97,SA_0000001420,"Age-standardized DALYs, colon and rectum cancers, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,2004,2004,,,TUR,Turkey,,FMLE,Female,,,,,,,,82,82.00000,,,,,
98,SA_0000001421,"Age-standardized DALYs, diabetes mellitus, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,2004,2004,,,TUR,Turkey,,MLE,Male,,,,,,,,308,308.00000,,,,,
99,SA_0000001421,"Age-standardized DALYs, diabetes mellitus, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,2004,2004,,,TUR,Turkey,,BTSX,Both sexes,,,,,,,,364,364.00000,,,,,
100,SA_0000001421,"Age-standardized DALYs, diabetes mellitus, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,2004,2004,,,TUR,Turkey,,FMLE,Female,,,,,,,,417,417.00000,,,,,
101,SA_0000001422,"Age-standardized DALYs, drownings, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,2004,2004,,,TUR,Turkey,,FMLE,Female,,,,,,,,8,,,,,,
102,SA_0000001422,"Age-standardized DALYs, drownings, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,2004,2004,,,TUR,Turkey,,MLE,Male,,,,,,,,37,37.00000,,,,,
