index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),PLACE (CODE),PLACE (DISPLAY),PLACE (URL),INADEQUACY (CODE),INADEQUACY (DISPLAY),INADEQUACY (URL),ENVCAUSE (CODE),ENVCAUSE (DISPLAY),ENVCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
10,EQ_WATER,Population using improved drinking-water sources (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/8,,,,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,,,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,16.8,,,,,,
11,WHS5_512,Population using solid fuels (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/318,PHEFN1,Multi-level,,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,Not available,,,,,,
12,TOTENV_4,Age-standardized DALYs attributable to the environment (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4658,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,ENVCAUSE001,"Infectious, parasitic, neonatal and nutritional",,323,323.36615,,,,,
13,TOTENV_2,Age-standardized deaths attributable to the environment (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4656,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,ENVCAUSE001,"Infectious, parasitic, neonatal and nutritional",,3,3.22480,,,,,
14,TOTENV_1,Deaths attributable to the environment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4653,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,ENVCAUSE060,Noncommunicable diseases,,65 929,65929.00000,,,,,
15,TOTENV_3,Disability-adjusted life years (DALYs) attributable to the environment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4654,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,ENVCAUSE000,Total,,3 355 593,3355593.00000,,,,,
16,AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,GHE039,Lower respiratory infections,,,,,,,,,,,23 038,23038.42383,,,,,
17,AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,GHE000,All Causes,,,,,,,,,,,582 063 [582 063 - 685 447],582063.12500,479717.0,685447.0,,,
18,AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,GHE114,Stroke,,,,,,,,,,,137 326,137326.07810,,,,,
19,AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,GHE039,Lower respiratory infections,,,,,,,,,,,9734,9733.92773,,,,,
20,AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,GHE068,"Trachea, bronchus, lung cancers",,,,,,,,,,,25 178,25177.69336,,,,,
21,AIR_4,Ambient air pollution attributable deaths in children under 5 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,185 [140–232],184.67322,140.11655,232.47464,,,
22,AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,17331 [13882–20926],17330.60049,13882.44629,20925.89844,,,
23,AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,7149 [5388–9047],7148.82562,5388.24756,9046.85742,,,
24,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,4 [3–5],4.13677,3.13868,5.20755,,,
25,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,15 [12–20],15.42376,11.62527,19.5188,,,
26,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,2 [1–2],1.58847,0.99426,2.22943,,,
27,AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE114,Stroke,,6 [5–8],6.31400,4.84712,8.2513,,,
28,AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,ENVCAUSE000,Total,,23135 [19903–26408],23135.34353,19902.83594,26407.66016,,,
29,AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,18 [13–22],17.70458,13.34438,22.40519,,,
30,AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE114,Stroke,,169 [145–197],168.99023,144.50908,197.45346,,,
31,AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE114,Stroke,,168 [144–197],168.27855,143.9005,196.6219,,,
32,AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,520 [447–591],520.03040,447.28717,591.49213,,,
33,AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,111 [84–140],111.14828,84.33119,139.91829,,,
34,AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,ENVCAUSE000,Total,,301852 [266647–339549],301851.95800,266646.8125,339549.2813,,,
35,AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,277 [161–404],277.42154,161.22479,404.0636,,,
36,AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE114,Stroke,,134368 [114903–157000],134368.23440,114902.6797,157000.0313,,,
37,AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,73888 [56061–93014],73888.49243,56061.1875,93014.03906,,,
38,AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,162166 [94244–236194],162166.02830,94243.52344,236194.3281,,,
39,AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE000,Total,,1175 [1041–1320],1174.85889,1040.66516,1320.32715,,,
40,AIR_8,Ambient air pollution attributable DALYs  in children under 5 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,8747 [6636–11011],8746.53906,6636.23438,11010.52246,,,
41,AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,133 [77–193],132.74376,77.14464,193.34087,,,
42,AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE104,Cataracts,,0 [0–0],0.00000,0.0,0.0,,,
43,AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,ENVCAUSE000,Total,,690 [610–776],690.12891,609.63879,776.31689,,,
44,AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,53600 [31150–78068],53599.79797,31149.76563,78067.9375,,,
45,AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,ENVCAUSE000,Total,,1755 [1536–1984],1755.45960,1536.1051,1984.3385,,,
46,AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,351 [220–493],351.07602,219.74763,492.73941,,,
47,WSH_10_SAN,Number of diarrhoea deaths from inadequate sanitation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,YEARSALL,All age groups (total),,BTSX,Both sexes,,,,,,,,,,,,,,INADEQUATE_SANITATION,Inadequate sanitation,,,,,18,17.84943,,,,,
48,WSH_10_SAN,Number of diarrhoea deaths from inadequate sanitation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,YEARSUNDER5,<5 years,,BTSX,Both sexes,,,,,,,,,,,,,,INADEQUATE_SANITATION,Inadequate sanitation,,,,,4,4.00000,,,,,
49,WSH_30_SAN,Number of diarrhoea DALYs from inadequate sanitation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,YEARSALL,All age groups (total),,FMLE,Female,,,,,,,,,,,,,,INADEQUATE_SANITATION,Inadequate sanitation,,,,,1389,1388.69970,,,,,
50,WSH_10_WAT,Number of diarrhoea deaths from inadequate water,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,YEARSALL,All age groups (total),,BTSX,Both sexes,,,,,,,,,,,,,,INADEQUATE_WATER,Inadequate water,,,,,158,157.55630,,,,,
51,WSH_30_WAT,Number of diarrhoea DALYs from inadequate water,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,YEARSALL,All age groups (total),,MLE,Male,,,,,,,,,,,,,,INADEQUATE_WATER,Inadequate water,,,,,11 829,11828.62327,,,,,
52,WSH_30_WAT,Number of diarrhoea DALYs from inadequate water,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,YEARSUNDER5,<5 years,,BTSX,Both sexes,,,,,,,,,,,,,,INADEQUATE_WATER,Inadequate water,,,,,7592,7592.19404,,,,,
53,WSH_30_HYG,Number of diarrhoea DALYs from inadequate hygiene,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,YEARSALL,All age groups (total),,FMLE,Female,,,,,,,,,,,,,,INADEQUATE_HYGIENE,Inadequate hygiene,,,,,6063,6063.05134,,,,,
54,WSH_30,"Number of diarrhoea DALYs from inadequate water, sanitation and hygiene",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,YEARSALL,All age groups (total),,MLE,Male,,,,,,,,,,,,,,INADEQUATE_WSH,"Inadequate water, sanitation and hygiene",,,,,17 292,17291.59088,,,,,
55,WSH_30,"Number of diarrhoea DALYs from inadequate water, sanitation and hygiene",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,YEARSALL,All age groups (total),,FMLE,Female,,,,,,,,,,,,,,INADEQUATE_WSH,"Inadequate water, sanitation and hygiene",,,,,17 919,17919.27350,,,,,
56,WSH_20,"Attributable fraction of diarrhoea to inadequate water, sanitation and hygiene",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5282,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,YEARSALL,All age groups (total),,BTSX,Both sexes,,,,,,,,,,,,,,INADEQUATE_WSH,"Inadequate water, sanitation and hygiene",,,,,0.33 [0.03-0.59],0.33000,0.03,0.59,,,
57,AIR_45,Ambient air pollution attributable YLLs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,72 643,72643.47034,,,,,
58,AIR_45,Ambient air pollution attributable YLLs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,409 768,409768.35840,,,,,
59,AIR_45,Ambient air pollution attributable YLLs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,19 711,19710.72652,,,,,
60,AIR_45,Ambient air pollution attributable YLLs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,ENVCAUSE000,Total,,280052 [247898-313718],280052.00000,247898.0,313718.0,,,
61,AIR_45,Ambient air pollution attributable YLLs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,ENVCAUSE114,Stroke,,68 669,68668.80127,,,,,
62,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4818,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,,,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,89,89.30463,,,,,
63,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4818,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,,,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,99,98.85983,,,,,
64,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4818,,,,PUBLISHED,Published,,2001.0,2001,,EUR,2001,2001,Europe,,,,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,,96,95.53819,,,,,
65,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4818,,,,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,,,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,91,90.79053,,,,,
66,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4818,,,,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,,,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,99,98.81475,,,,,
67,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4818,,,,PUBLISHED,Published,,2006.0,2006,,EUR,2006,2006,Europe,,,,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,93,93.01939,,,,,
68,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4818,,,,PUBLISHED,Published,,2006.0,2006,,EUR,2006,2006,Europe,,,,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,99,98.76967,,,,,
69,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4818,,,,PUBLISHED,Published,,2009.0,2009,,EUR,2009,2009,Europe,,,,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,95,95.24824,,,,,
70,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4818,,,,PUBLISHED,Published,,2009.0,2009,,EUR,2009,2009,Europe,,,,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,99,98.72459,,,,,
