index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
10,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1992.0,1992,,EUR,Europe,,TUR,1992,1992,Turkey,,AGE20-PLUS,20+ years,,MLE,Male,,,,,24.5 [23.7-25.3],24.50000,23.7,25.3,,,
11,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1999.0,1999,,EUR,Europe,,TUR,1999,1999,Turkey,,AGE20-PLUS,20+ years,,MLE,Male,,,,,25.4 [24.9-25.8],25.40000,24.9,25.8,,,
12,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,TUR,2001,2001,Turkey,,AGE20-PLUS,20+ years,,MLE,Male,,,,,25.6 [25.2-25.9],25.60000,25.2,25.9,,,
13,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1983.0,1983,,EUR,Europe,,TUR,1983,1983,Turkey,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,25.9 [24.3-27.4],25.90000,24.3,27.4,,,
14,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1985.0,1985,,EUR,Europe,,TUR,1985,1985,Turkey,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,26.0 [24.7-27.3],26.00000,24.7,27.3,,,
15,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1987.0,1987,,EUR,Europe,,TUR,1987,1987,Turkey,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,26.2 [25.1-27.3],26.20000,25.1,27.3,,,
16,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1992.0,1992,,EUR,Europe,,TUR,1992,1992,Turkey,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,26.7 [26.0-27.4],26.70000,26.0,27.4,,,
17,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1994.0,1994,,EUR,Europe,,TUR,1994,1994,Turkey,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,26.9 [26.3-27.5],26.90000,26.3,27.5,,,
18,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,TUR,2001,2001,Turkey,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,27.4 [27.0-27.8],27.40000,27.0,27.8,,,
19,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2003.0,2003,,EUR,Europe,,TUR,2003,2003,Turkey,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,27.6 [27.2-27.9],27.60000,27.2,27.9,,,
20,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2009.0,2009,,EUR,Europe,,TUR,2009,2009,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.3-5.0],4.70000,4.3,5.0,,,
21,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2009.0,2009,,EUR,Europe,,TUR,2009,2009,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.4-5.0],4.70000,4.4,5.0,,,
22,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1984.0,1984,,EUR,Europe,,TUR,1984,1984,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.8 [4.2-5.3],4.80000,4.2,5.3,,,
23,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1986.0,1986,,EUR,Europe,,TUR,1986,1986,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.8 [4.3-5.2],4.80000,4.3,5.2,,,
24,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1988.0,1988,,EUR,Europe,,TUR,1988,1988,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.8 [4.3-5.2],4.80000,4.3,5.2,,,
25,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1993.0,1993,,EUR,Europe,,TUR,1993,1993,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.8 [4.4-5.1],4.80000,4.4,5.1,,,
26,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,TUR,1995,1995,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.8 [4.5-5.1],4.80000,4.5,5.1,,,
27,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2002.0,2002,,EUR,Europe,,TUR,2002,2002,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.5-4.9],4.70000,4.5,4.9,,,
28,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2004.0,2004,,EUR,Europe,,TUR,2004,2004,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.5-4.9],4.70000,4.5,4.9,,,
29,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1980.0,1980,,EUR,Europe,,TUR,1980,1980,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.8 [4.0-5.6],4.80000,4.0,5.6,,,
30,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1982.0,1982,,EUR,Europe,,TUR,1982,1982,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.8 [4.1-5.5],4.80000,4.1,5.5,,,
31,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1987.0,1987,,EUR,Europe,,TUR,1987,1987,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.8 [4.3-5.3],4.80000,4.3,5.3,,,
32,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1989.0,1989,,EUR,Europe,,TUR,1989,1989,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.8 [4.4-5.3],4.80000,4.4,5.3,,,
33,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1996.0,1996,,EUR,Europe,,TUR,1996,1996,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.8 [4.5-5.2],4.80000,4.5,5.2,,,
34,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1998.0,1998,,EUR,Europe,,TUR,1998,1998,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.8 [4.6-5.1],4.80000,4.6,5.1,,,
35,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2005.0,2005,,EUR,Europe,,TUR,2005,2005,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.8 [4.5-5.0],4.80000,4.5,5.0,,,
36,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2007.0,2007,,EUR,Europe,,TUR,2007,2007,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.8 [4.5-5.1],4.80000,4.5,5.1,,,
37,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1983.0,1983,,EUR,Europe,,TUR,1983,1983,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.8 [4.2-5.4],4.80000,4.2,5.4,,,
38,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1985.0,1985,,EUR,Europe,,TUR,1985,1985,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.8 [4.3-5.3],4.80000,4.3,5.3,,,
39,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1992.0,1992,,EUR,Europe,,TUR,1992,1992,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.8 [4.4-5.2],4.80000,4.4,5.2,,,
40,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1994.0,1994,,EUR,Europe,,TUR,1994,1994,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.8 [4.5-5.1],4.80000,4.5,5.1,,,
41,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,TUR,2001,2001,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.8 [4.6-5.0],4.80000,4.6,5.0,,,
42,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2003.0,2003,,EUR,Europe,,TUR,2003,2003,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.5-4.9],4.70000,4.5,4.9,,,
43,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2008.0,2008,,EUR,Europe,,TUR,2008,2008,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.4-5.0],4.70000,4.4,5.0,,,
44,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1984.0,1984,,EUR,Europe,,TUR,1984,1984,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.9 [4.3-5.5],4.90000,4.3,5.5,,,
45,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1986.0,1986,,EUR,Europe,,TUR,1986,1986,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.9 [4.4-5.4],4.90000,4.4,5.4,,,
46,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1993.0,1993,,EUR,Europe,,TUR,1993,1993,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.9 [4.5-5.3],4.90000,4.5,5.3,,,
47,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,TUR,1995,1995,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.9 [4.6-5.3],4.90000,4.6,5.3,,,
48,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2002.0,2002,,EUR,Europe,,TUR,2002,2002,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.9 [4.6-5.1],4.90000,4.6,5.1,,,
49,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2004.0,2004,,EUR,Europe,,TUR,2004,2004,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.8 [4.6-5.1],4.80000,4.6,5.1,,,
50,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1986.0,1986,,EUR,Europe,,TUR,1986,1986,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.2 [4.6-5.8],5.20000,4.6,5.8,,,
51,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1988.0,1988,,EUR,Europe,,TUR,1988,1988,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.2 [4.7-5.8],5.20000,4.7,5.8,,,
52,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1993.0,1993,,EUR,Europe,,TUR,1993,1993,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.3 [5.0-5.7],5.30000,5.0,5.7,,,
53,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,TUR,1995,1995,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.4 [5.0-5.7],5.40000,5.0,5.7,,,
54,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2002.0,2002,,EUR,Europe,,TUR,2002,2002,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.4 [5.2-5.7],5.40000,5.2,5.7,,,
55,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2004.0,2004,,EUR,Europe,,TUR,2004,2004,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.4 [5.2-5.7],5.40000,5.2,5.7,,,
56,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1984.0,1984,,EUR,Europe,,TUR,1984,1984,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.3 [4.7-6.0],5.30000,4.7,6.0,,,
57,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1986.0,1986,,EUR,Europe,,TUR,1986,1986,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.4 [4.8-5.9],5.40000,4.8,5.9,,,
58,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1991.0,1991,,EUR,Europe,,TUR,1991,1991,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.4 [5.0-5.8],5.40000,5.0,5.8,,,
59,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1993.0,1993,,EUR,Europe,,TUR,1993,1993,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.4 [5.0-5.8],5.40000,5.0,5.8,,,
60,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2000.0,2000,,EUR,Europe,,TUR,2000,2000,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.5 [5.2-5.7],5.50000,5.2,5.7,,,
61,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2002.0,2002,,EUR,Europe,,TUR,2002,2002,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.5 [5.2-5.7],5.50000,5.2,5.7,,,
62,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2009.0,2009,,EUR,Europe,,TUR,2009,2009,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.5 [5.0-5.9],5.50000,5.0,5.9,,,
63,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1981.0,1981,,EUR,Europe,,TUR,1981,1981,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,124.4 [117.0-132.1],124.40000,117.0,132.1,,,
64,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1983.0,1983,,EUR,Europe,,TUR,1983,1983,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,124.4 [118.3-130.7],124.40000,118.3,130.7,,,
65,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1990.0,1990,,EUR,Europe,,TUR,1990,1990,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,124.3 [120.1-128.7],124.30000,120.1,128.7,,,
66,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1992.0,1992,,EUR,Europe,,TUR,1992,1992,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,124.3 [120.3-128.5],124.30000,120.3,128.5,,,
67,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1997.0,1997,,EUR,Europe,,TUR,1997,1997,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,124.2 [120.8-127.4],124.20000,120.8,127.4,,,
68,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1999.0,1999,,EUR,Europe,,TUR,1999,1999,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,124.1 [121.2-126.9],124.10000,121.2,126.9,,,
69,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2006.0,2006,,EUR,Europe,,TUR,2006,2006,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,123.0 [120.0-125.9],123.00000,120.0,125.9,,,
70,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2008.0,2008,,EUR,Europe,,TUR,2008,2008,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,122.5 [118.2-126.4],122.50000,118.2,126.4,,,
71,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1981.0,1981,,EUR,Europe,,TUR,1981,1981,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,125.2 [117.1-133.6],125.20000,117.1,133.6,,,
72,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1988.0,1988,,EUR,Europe,,TUR,1988,1988,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,125.6 [120.6-130.8],125.60000,120.6,130.8,,,
73,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1990.0,1990,,EUR,Europe,,TUR,1990,1990,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,125.8 [121.1-130.7],125.80000,121.1,130.7,,,
74,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,TUR,1995,1995,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,125.6 [121.8-129.5],125.60000,121.8,129.5,,,
75,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1997.0,1997,,EUR,Europe,,TUR,1997,1997,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,125.3 [121.9-128.7],125.30000,121.9,128.7,,,
76,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2004.0,2004,,EUR,Europe,,TUR,2004,2004,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,123.5 [121.0-125.9],123.50000,121.0,125.9,,,
77,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2006.0,2006,,EUR,Europe,,TUR,2006,2006,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,122.9 [120.0-125.8],122.90000,120.0,125.8,,,
78,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2008.0,2008,,EUR,Europe,,TUR,2008,2008,Turkey,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,28.0 [27.4-28.6],28.00000,27.4,28.6,,,
79,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,TUR,1995,1995,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,26.0 [21.0-31.4],26.00000,21.0,31.4,,,
