index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),DRIVERTYPE (CODE),DRIVERTYPE (DISPLAY),DRIVERTYPE (URL),MOTOCYCLEOCCUPANTTYPE (CODE),MOTOCYCLEOCCUPANTTYPE (DISPLAY),MOTOCYCLEOCCUPANTTYPE (URL),ROADUSERTYPE (CODE),ROADUSERTYPE (DISPLAY),ROADUSERTYPE (URL),SEATTYPE (CODE),SEATTYPE (DISPLAY),SEATTYPE (URL),VEHICLESTANDARD (CODE),VEHICLESTANDARD (DISPLAY),VEHICLESTANDARD (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
10,VIOLENCE_EXTENTIMP_CHILDPROTECTION,Extent of implementation of child protection services,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,EUR,2012,2014,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,Larger scale,,,,,,
11,VIOLENCE_EXTENTIMP_VICTIMSMEDICOLEGAL,Extent of implementation of medico-legal services for victims of sexual violence,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,EUR,2012,2014,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,Larger scale,,,,,,
12,VIOLENCE_HOMICIDENUM,Estimates of number of homicides,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4464,,,,PUBLISHED,Published,,2012,2012,,EUR,2012,2012,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2020.00000,,,,,
13,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,5.0,4.98174,,,,,
14,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,8.9,8.88936,,,,,
15,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,1.2,1.19004,,,,,
16,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,5.6,5.61264,,,,,
17,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,9.6,9.59970,,,,,
18,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,1.7,1.74863,,,,,
19,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,3.1,3.07775,,,,,
20,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,5.1,5.12909,,,,,
21,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,1.1,1.09330,,,,,
22,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2015,2015,,EUR,2015,2015,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,2.7,2.72020,,,,,
23,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2015,2015,,EUR,2015,2015,Europe,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,4.5,4.51413,,,,,
24,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2015,2015,,EUR,2015,2015,Europe,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,1.0,0.98335,,,,,
25,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,2.7,2.67497,,,,,
26,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,4.4,4.44043,,,,,
27,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,1.0,0.96390,,,,,
28,SDGIPV,Proportion of ever-partnered women and girls aged 15-49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745,,,,PUBLISHED,Published,,2014,2014,,EUR,2014,2014,Europe,,TUR,Turkey,,AGE15-49,15-49 years,,FMLE,Female,,,,,,,,,,,,,,,,,,,,11.0,11.00000,,,,,Domestic Violence against Women in Turkey Women aged 15-59 years; based on definition used in the WHO multi-country study on women’s health and
29,SDGIPV,Proportion of ever-partnered women and girls aged 15-49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745,,,,PUBLISHED,Published,,2014,2014,,EUR,2014,2014,Europe,,TUR,Turkey,,AGE15-24,15-24 years,,FMLE,Female,,,,,,,,,,,,,,,,,,,,18.0,18.00000,,,,,Domestic Violence against Women in Turkey 
30,SDGIPV,Proportion of ever-partnered women and girls aged 15-49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745,,,,PUBLISHED,Published,,2014,2014,,EUR,2014,2014,Europe,,TUR,Turkey,,AGE35-44,35-44 years,,FMLE,Female,,,,,,,,,,,,,,,,,,,,11.0,11.00000,,,,,Domestic Violence against Women in Turkey 
31,SDGIPV,Proportion of ever-partnered women and girls aged 15-49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745,,,,PUBLISHED,Published,,2014,2014,,EUR,2014,2014,Europe,,TUR,Turkey,,AGE45-59,45-59 years,,FMLE,Female,,,,,,,,,,,,,,,,,,,,7.0,7.00000,,,,,Domestic Violence against Women in Turkey 
32,SDGIPV,Proportion of ever-partnered women and girls aged 15-49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745,,,,PUBLISHED,Published,,2014,2014,,EUR,2014,2014,Europe,,TUR,Turkey,,AGE25-34,25-34 years,,FMLE,Female,,,,,,,,,,,,,,,,,,,,13.0,13.00000,,,,,Domestic Violence against Women in Turkey 
33,RS_194,Number of registered vehicles,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/194,RS_151,RS_151,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,, 21 090 424,21090424.00000,,,,,Data for 2006 to 2013.
34,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,8.3,8.28522,,,,,
35,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,5.0,4.99830,,,,,
36,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,1.8,1.80408,,,,,
37,RS_246,Distribution of road traffic deaths by type of road user (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/246,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,RS-DDC-2OR3WHEELS,Drivers/passengers of motorized 2- or 3-wheelers,,,,,,,,14.9,14.90000,,,,,
38,RS_246,Distribution of road traffic deaths by type of road user (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/246,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,RS-DDC-CYCLISTS,Cyclists,,,,,,,,1.9,1.90000,,,,,
39,RS_246,Distribution of road traffic deaths by type of road user (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/246,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,RS-DDC-OTHER,Other/unspecified road users,,,,,,,,38.0,38.00000,,,,,
40,RS_246,Distribution of road traffic deaths by type of road user (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/246,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,RS-DDC-PEDESTRIANS,Pedestrians,,,,,,,,23.4,23.40000,,,,,
41,RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,9 782,9782.00000,,,,,Projected death registration data
42,RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,12.30000,,,,,
43,RS_207,Blood Alcohol Concentration (BAC) limit for drivers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/207,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,,,,,,,RS-DRIVERTYPE-GENERAL,general population,,,,,,,,,,,,,,<=0.05 g/dl,,,,,,
44,RS_207,Blood Alcohol Concentration (BAC) limit for drivers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/207,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,,,,,,,RS-DRIVERTYPE-YOUNG,young/novice drivers,,,,,,,,,,,,,,<=0.05 g/dl,,,,,,
45,RS_209,Existence of a national seat-belt law,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/209,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,
46,RS_210,Applicability of seat-belt law to all occupants,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/210,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,No data,,,,,,
47,RS_212,Seat-belt wearing rate (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/212,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,RS-DDC-DRIVERSONLY,Drivers only,,,,,50.1,,,,,,
48,RS_212,Seat-belt wearing rate (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/212,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,RS-DDC-FRONTSEAT,Front seat,,,,,40.6,,,,,,
49,RS_212,Seat-belt wearing rate (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/212,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,RS-DDC-REARSEAT,Rear seat,,,,,,,,,,,
50,RS_212,Seat-belt wearing rate (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/212,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,RS-DDC-ALLOCCUPANTS,All occupants,,,,,,,,,,,
51,RS_213,Existence of a national child-restraint law,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/213,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,
52,RS_214,Existence of national speed limits,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/214,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,
53,RS_217,Maximum speed limits,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/217,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,50,,,,,,
54,RS_217,Maximum speed limits,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/217,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,110,,,,,,Ministry of Interior can increase speed limits by 20 km/h for automobiles
55,RS_223_BIS,Law requires helmet to be fastened,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4651,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,
56,RS_219,Applicability of national motorcycle helmet law to all occupants,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/219,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,,,,,,,,,,RS-DDC-DRIVERS,Drivers,,,,,,,,,,,Yes,,,,,,
57,RS_219,Applicability of national motorcycle helmet law to all occupants,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/219,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,,,,,,,,,,RS-DDC-ADULT-PASSAGER,Adult passengers,,,,,,,,,,,Yes,,,,,,
58,RS_219,Applicability of national motorcycle helmet law to all occupants,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/219,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,,,,,,,,,,RS-DDC-CHILD-PASSAGER,Child passengers,,,,,,,,,,,Not restricted,,,,,,
59,RS_204,Existence of a national drink-driving law,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/204,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,
60,RS_205,Definition of drink-driving by BAC,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/205,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,
61,RS_208,Attribution of road traffic deaths to alcohol (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/208,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,
62,RS_225,Existence of a road safety lead agency,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/225,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,
63,RS_228,Existence of a national road safety strategy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/228,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,
64,RS_229,Availability of funding for national road safety strategy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/229,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,Fully funded,,,,,,
65,RS_238,Existence of a universal access telephone number for pre-hospital care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/238,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,"National, single number",,,,,,
66,RS_242,Vehicle standards,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4652,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,RS_VS_SEAT_BELTS,Seat-belts,,Yes,,,,,,
67,RS_242,Vehicle standards,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4652,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,RS_VS_SEAT_BELTS_ANCHORAGES,Seat-belt anchorages,,Yes,,,,,,
68,RS_242,Vehicle standards,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4652,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,RS_VS_FRONTAL_IMPACT,Frontal impact,,Yes,,,,,,
69,RS_242,Vehicle standards,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4652,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,RS_VS_SIDE_IMPACT,Side impact,,Yes,,,,,,
70,RS_242,Vehicle standards,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4652,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,RS_VS_ESC,Electronic stability control,,Yes,,,,,,
71,RS_242,Vehicle standards,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4652,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,RS_VS_PEDESTRIANPROTECTION,Pedestrian protection,,Yes,,,,,,
72,RS_242,Vehicle standards,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4652,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,RS_VS_CHILD_SEATS,Child seats,,Yes,,,,,,
73,RS_242,Vehicle standards,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4652,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,RS_VS_MOTORCYCLE,Motorcycle,,No,,,,,,
