index,GHO (CODE),GHO (DISPLAY),GHO (URL),GBDCHILDCAUSES (CODE),GBDCHILDCAUSES (DISPLAY),GBDCHILDCAUSES (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
21,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE119,Asthma,,,,,13.1,13.11783,,,,,
22,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE120,Other respiratory diseases,,,,,16.1,16.09755,,,,,
23,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE141,Neural tube defects,,,,,0.2,0.19722,,,,,
24,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE143,Down's syndrome,,,,,0.2,0.21304,,,,,
25,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE144,Congenital heart anomalies,,,,,10.6,10.56993,,,,,
26,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE162,Interpersonal violence,,,,,4.8,4.76024,,,,,
27,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,BTSX,Both sexes,,GHE163,Collective violence and legal intervention,,,,,0.6,0.60307,,,,,
28,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE000,All Causes,,,,,1101.1,1101.06970,,,,,
29,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE001,Communicable & other Group I,,,,,105.0,104.98665,,,,,
30,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE019,Acute hepatitis B,,,,,0.4,0.35134,,,,,
31,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE020,Acute hepatitis C,,,,,0.1,0.06612,,,,,
32,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE021,Parasitic and vector diseases,,,,,1.4,1.39617,,,,,
33,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE022,Malaria,,,,,0.0,0.00000,,,,,
34,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE023,Trypanosomiasis,,,,,0.0,0.00000,,,,,
35,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE039,Lower respiratory infections,,,,,31.4,31.39338,,,,,
36,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE040,Upper respiratory infections,,,,,0.0,0.02849,,,,,
37,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE042,Maternal conditions,,,,,0.0,0.00000,,,,,
38,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE049,Neonatal conditions,,,,,34.9,34.86413,,,,,
39,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE067,Pancreas cancer,,,,,5.4,5.40422,,,,,
40,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE068,"Trachea, bronchus, lung cancers",,,,,67.0,67.00201,,,,,
41,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE069,Melanoma and other skin cancers,,,,,1.3,1.30326,,,,,
42,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE070,Breast cancer,,,,,0.0,0.00000,,,,,
43,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE095,Alzheimer's disease and other dementias,,,,,1.7,1.66199,,,,,
44,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE096,Parkinson's disease,,,,,1.0,0.99764,,,,,
45,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE097,Epilepsy,,,,,3.4,3.41214,,,,,
46,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE098,Multiple sclerosis,,,,,0.5,0.50567,,,,,
47,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE121,Digestive diseases,,,,,26.1,26.07793,,,,,
48,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE122,Peptic ulcer disease,,,,,8.8,8.80562,,,,,
49,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE123,Cirrhosis of the liver,,,,,8.4,8.39428,,,,,
50,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE124,Appendicitis,,,,,0.3,0.30680,,,,,
51,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE145,Other chromosomal anomalies,,,,,0.2,0.22295,,,,,
52,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE146,Other congenital anomalies,,,,,4.0,3.99388,,,,,
53,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE151,Injuries,,,,,87.4,87.43263,,,,,
54,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,MLE,Male,,GHE152,Unintentional injuries,,,,,60.3,60.34028,,,,,
55,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE002,Infectious and parasitic diseases,,,,,23.9,23.87536,,,,,
56,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE003,Tuberculosis,,,,,2.2,2.23296,,,,,
57,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE004,STDs excluding HIV,,,,,0.7,0.67178,,,,,
58,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE010,HIV/AIDS,,,,,0.0,0.03460,,,,,
59,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE023,Trypanosomiasis,,,,,0.0,0.00000,,,,,
60,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE024,Chagas disease,,,,,0.0,0.00000,,,,,
61,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE025,Schistosomiasis,,,,,0.0,0.00000,,,,,
62,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE026,Leishmaniasis,,,,,0.1,0.13311,,,,,
63,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE027,Lymphatic filariasis,,,,,0.0,0.00000,,,,,
64,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE050,Preterm birth complications,,,,,14.2,14.16364,,,,,
65,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE051,Birth asphyxia and birth trauma,,,,,6.5,6.46995,,,,,
66,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE052,Neonatal sepsis and infections,,,,,1.5,1.54456,,,,,
67,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE053,Other neonatal conditions,,,,,6.0,5.97614,,,,,
68,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE071,Cervix uteri cancer,,,,,3.3,3.25036,,,,,
69,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE072,Corpus uteri cancer,,,,,3.1,3.09164,,,,,
70,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE073,Ovary cancer,,,,,4.4,4.36051,,,,,
71,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE101,Other neurological conditions,,,,,4.5,4.52367,,,,,
72,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE110,Cardiovascular diseases,,,,,349.9,349.85518,,,,,
73,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE111,Rheumatic heart disease,,,,,23.5,23.50065,,,,,
74,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE112,Hypertensive heart disease,,,,,20.1,20.10413,,,,,
75,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE125,Other digestive diseases,,,,,5.3,5.29018,,,,,
76,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE126,Genitourinary diseases,,,,,5.0,5.02916,,,,,
77,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE127,Kidney diseases,,,,,3.2,3.15530,,,,,
78,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE128,Hyperplasia of prostate,,,,,0.0,0.00000,,,,,
79,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE153,Road injury,,,,,6.9,6.94944,,,,,
80,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE154,Poisonings,,,,,1.1,1.13934,,,,,
81,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE155,Falls,,,,,2.0,1.98907,,,,,
82,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,TUR,Turkey,,,,,FMLE,Female,,GHE156,"Fire, heat and hot substances",,,,,1.0,0.98606,,,,,
